latency_bucket_ns,BookBaseline,Book,Book+Logger
10,380,2388,2661
20,21947,59298,51465
30,74159,115622,78105
40,48646,36512,26111
50,20376,9421,15001
60,27811,3365,14229
70,29265,1351,20725
80,19298,809,7860
90,11360,4094,7967
100,7121,11685,18791
110,4116,10164,10990
120,2533,16337,14647
130,2045,2815,3382
140,2142,1948,2233
150,2228,941,1213
160,2015,460,666
170,1563,316,502
180,1057,268,379
190,788,366,595
200,556,420,618
210,474,498,695
220,445,373,474
230,462,433,443
240,468,313,326
250,357,213,244
260,369,208,220
270,231,151,211
280,201,169,217
290,167,168,210
300,137,215,211
310,137,251,249
320,146,329,309
330,142,390,308
340,150,499,373
350,171,559,501
360,217,705,588
370,226,938,751
380,326,1135,827
390,409,1355,1053
400,502,1589,1237
410,669,1864,1474
420,787,2097,1655
430,977,2433,1805
440,1182,2753,2252
450,1340,3198,2487
460,1587,3471,2805
470,1750,3633,3047
480,2041,3921,3276
490,2235,4055,3526
500,2418,4533,3788
510,2760,4367,3968
520,2851,4465,4017
530,3133,4673,4264
540,3154,4780,4364
550,3370,4785,4606
560,3531,4827,4494
570,3740,4749,4780
580,3979,4719,4730
590,4186,4782,4821
600,4329,4584,4817
610,4392,4599,4789
620,4428,4408,4754
630,4653,4368,4650
640,4538,4129,4533
650,4584,4018,4267
660,4575,3760,4157
670,4528,3587,3989
680,4531,3424,3623
690,4423,3232,3542
700,4197,3011,3372
710,4092,2845,3136
720,3954,2616,2953
730,3709,2422,2750
740,3660,2348,2527
750,3505,2067,2378
760,3216,1930,2304
770,3046,1773,1855
780,2885,1583,1850
790,2717,1442,1708
800,2504,1344,1475
810,2376,1285,1363
820,2098,1179,1237
830,1943,1114,1179
840,1793,1008,995
850,1651,983,955
860,1573,924,862
870,1373,889,824
880,1192,839,773
890,1156,858,701
900,1123,832,660
910,1017,852,672
920,946,823,691
930,860,817,709
940,842,819,676
950,793,797,642
960,742,859,698
970,744,803,727
980,708,879,705
990,747,888,741
1000,624,853,718
1010,721,883,782
1020,652,894,821
1030,704,936,800
1040,663,869,854
1050,678,869,881
1060,669,872,837
1070,655,802,825
1080,640,812,794
1090,655,856,840
1100,700,752,801
1110,706,734,844
1120,704,783,822
1130,731,765,872
1140,735,733,769
1150,727,704,842
1160,677,692,743
1170,720,626,746
1180,728,642,743
1190,737,610,706
1200,694,603,733
1210,741,601,723
1220,753,558,696
1230,729,561,651
1240,709,520,628
1250,701,537,585
1260,725,475,562
1270,693,513,549
1280,702,441,510
1290,676,407,510
1300,629,460,490
1310,626,391,468
1320,651,416,530
1330,651,365,438
1340,599,350,455
1350,606,329,416
1360,565,340,430
1370,580,320,411
1380,558,309,409
1390,531,290,364
1400,441,322,377
1410,471,279,336
1420,474,278,323
1430,423,251,317
1440,452,271,313
1450,428,245,327
1460,415,216,281
1470,379,230,303
1480,358,210,308
1490,320,201,265
1500,325,241,262
1510,279,189,241
1520,294,206,245
1530,277,185,255
1540,242,180,236
1550,250,168,224
1560,236,149,213
1570,221,179,225
1580,203,177,184
1590,186,154,202
1600,177,153,175
1610,176,168,207
1620,183,136,166
1630,152,148,190
1640,160,134,162
1650,145,115,160
1660,139,128,161
1670,117,114,158
1680,144,127,137
1690,126,125,123
1700,120,144,142
1710,126,121,136
1720,126,110,141
1730,128,133,127
1740,134,129,113
1750,109,113,132
1760,129,115,136
1770,124,122,120
1780,119,117,117
1790,113,102,109
1800,133,98,120
1810,139,114,100
1820,102,122,101
1830,126,111,107
1840,121,110,107
1850,102,101,118
1860,118,100,90
1870,115,109,127
1880,126,108,118
1890,137,97,106
1900,114,91,97
1910,120,102,100
1920,117,97,101
1930,107,97,108
1940,103,85,111
1950,108,98,93
1960,107,78,82
1970,108,80,107
1980,112,83,108
1990,111,84,104
2000,107,79,115
2010,101,70,94
2020,116,73,82
2030,104,55,96
2040,106,55,82
2050,95,44,110
2060,98,60,74
2070,108,53,72
2080,89,59,71
2090,80,49,79
2100,97,54,75
2110,96,43,64
2120,93,45,85
2130,86,42,71
2140,81,38,69
2150,72,35,57
2160,62,39,68
2170,70,41,57
2180,68,38,52
2190,62,31,52
2200,58,43,47
2210,67,30,50
2220,48,23,60
2230,48,28,43
2240,56,28,48
2250,66,39,42
2260,50,28,53
2270,51,20,45
2280,40,25,39
2290,48,26,33
2300,43,34,44
2310,41,30,38
2320,45,26,36
2330,42,18,35
2340,31,22,31
2350,22,22,41
2360,28,23,30
2370,26,18,35
2380,24,15,34
2390,35,14,32
2400,36,22,23
2410,22,20,18
2420,23,24,26
2430,29,15,26
2440,24,18,32
2450,23,20,20
2460,18,23,26
2470,19,16,21
2480,22,13,23
2490,26,20,27
2500,16,19,20
2510,19,21,22
2520,25,16,17
2530,23,12,20
2540,26,22,17
2550,17,13,26
2560,17,18,16
2570,15,25,15
2580,22,11,32
2590,22,4,23
2600,19,17,23
2610,17,6,12
2620,17,15,21
2630,17,17,12
2640,17,13,22
2650,23,11,22
2660,16,11,10
2670,20,9,22
2680,17,10,16
2690,15,12,16
2700,21,16,16
2710,18,6,19
2720,18,11,13
2730,17,10,10
2740,15,5,15
2750,20,8,8
2760,19,5,14
2770,22,6,17
2780,18,5,12
2790,16,4,14
2800,20,5,14
2810,18,7,12
2820,22,7,17
2830,23,5,8
2840,18,2,12
2850,15,5,19
2860,15,6,7
2870,14,5,13
2880,7,7,9
2890,15,5,9
2900,14,4,5
2910,15,4,8
2920,6,3,13
2930,20,8,10
2940,18,4,7
2950,10,5,5
2960,5,1,8
2970,6,5,1
2980,6,4,9
2990,10,2,5
3000,14,4,10
3010,10,5,6
3020,3,4,6
3030,11,3,6
3040,10,4,8
3050,6,3,5
3060,8,6,6
3070,4,3,5
3080,6,4,6
3090,10,2,7
3100,4,5,10
3110,4,3,7
3120,9,3,7
3130,6,4,5
3140,7,4,7
3150,5,4,7
3160,7,4,4
3170,8,6,3
3180,1,3,9
3190,3,3,5
3200,6,6,6
3210,3,4,7
3220,2,2,1
3230,2,3,5
3240,5,3,4
3250,2,4,8
3260,1,3,8
3270,8,5,7
3280,3,1,3
3290,4,3,6
3300,6,2,5
3310,1,3,6
3320,2,3,3
3330,1,1,6
3340,4,1,2
3350,2,0,7
3360,4,0,5
3370,2,1,2
3380,3,1,3
3390,4,0,7
3400,3,0,5
3410,3,2,2
3420,4,3,2
3430,2,1,4
3440,4,1,2
3450,2,0,3
3460,3,0,4
3470,5,0,1
3480,1,6,5
3490,3,2,6
3500,3,3,2
3510,2,0,9
3520,3,0,3
3530,3,0,3
3540,0,3,4
3550,2,0,4
3560,3,2,1
3570,1,3,3
3580,3,2,1
3590,2,0,1
3600,3,0,4
3610,0,0,1
3620,1,0,1
3630,1,1,2
3640,0,2,3
3650,3,0,3
3660,1,0,2
3670,1,1,2
3680,0,1,0
3690,0,0,1
3700,2,2,0
3710,2,4,5
3720,2,1,0
3730,1,1,3
3740,1,3,3
3750,1,1,5
3760,1,1,1
3770,1,1,2
3780,0,1,1
3790,0,1,2
3800,4,0,0
3810,1,2,3
3820,0,1,3
3830,0,2,1
3840,0,1,0
3850,4,2,0
3860,0,3,0
3870,2,1,3
3880,2,1,3
3890,2,0,2
3910,1,3,2
3920,3,0,0
3930,0,0,3
3940,2,0,2
3950,0,0,1
3960,0,0,1
3970,2,0,2
3980,0,0,1
3990,2,0,1
4000,2,0,0
4010,0,0,2
4020,0,0,2
4030,1,0,1
4040,2,1,2
4050,3,3,1
4060,1,0,1
4070,1,1,3
4080,0,1,2
4090,3,1,2
4100,0,0,1
4110,1,0,2
4120,1,0,0
4130,0,0,1
4140,2,1,2
4150,0,0,1
4160,1,0,0
4180,1,0,1
4190,2,2,0
4200,1,0,1
4220,0,0,2
4230,1,0,1
4250,0,1,1
4260,0,1,0
4270,1,0,0
4280,1,0,3
4300,1,0,1
4310,0,0,2
4320,0,2,2
4330,2,0,3
4350,0,1,1
4360,2,1,2
4370,1,1,2
4380,0,0,1
4390,1,0,0
4410,1,1,0
4430,0,0,2
4440,0,1,1
4480,0,0,2
4490,0,0,2
4510,3,0,1
4520,2,0,0
4530,0,0,2
4540,1,0,0
4550,0,2,0
4560,0,0,1
4580,1,0,1
4590,1,0,2
4600,0,0,1
4610,0,0,1
4620,0,1,0
4630,0,0,1
4640,1,0,0
4650,0,0,1
4670,1,0,0
4680,1,0,0
4690,2,0,0
4700,0,1,0
4710,0,0,1
4720,1,0,0
4740,1,0,0
4760,1,0,0
4770,1,2,0
4780,0,0,1
4790,0,1,0
4800,2,0,0
4820,0,1,0
4830,0,0,1
4840,0,0,1
4870,0,0,1
4900,0,0,1
4920,1,1,0
4960,3,0,0
4970,0,0,1
4980,1,1,0
5020,1,0,0
5030,1,0,0
5040,0,0,1
5080,0,0,1
5100,0,0,1
5140,1,0,0
5160,0,0,1
5200,1,0,1
5210,0,0,1
5240,0,0,1
5250,1,0,0
5260,0,0,1
5270,0,0,1
5320,0,1,0
5330,1,0,1
5340,2,0,0
5420,0,0,1
5440,1,0,0
5480,0,0,2
5500,0,1,1
5540,0,1,1
5580,1,0,0
5590,0,1,0
5600,0,0,1
5620,0,0,1
5630,1,0,1
5640,0,0,1
5650,0,0,1
5670,0,0,1
5680,0,0,1
5690,0,0,2
5720,0,0,1
5750,0,0,1
5790,0,1,1
5800,0,0,2
5860,0,0,1
5930,0,0,1
5950,0,1,0
5960,0,0,1
5970,0,1,0
5980,1,0,0
6040,1,0,1
6140,0,0,1
6270,0,0,1
6290,0,0,1
6340,1,0,0
6370,1,0,0
6430,1,0,0
6440,1,0,0
6650,1,0,0
6660,0,0,1
6680,1,0,0
6730,0,1,0
6860,1,0,0
6870,1,0,0
6950,1,0,0
7030,0,0,1
7080,0,1,0
7210,1,0,0
7310,0,0,1
7410,0,0,1
7580,0,1,0
7590,0,2,0
7600,0,0,1
7670,0,0,1
7740,0,0,1
7760,2,0,0
7890,0,0,1
7970,0,0,1
8150,0,1,0
8240,0,0,1
8280,1,1,0
8380,0,1,0
8400,0,1,0
8420,0,2,0
8470,0,0,1
8490,0,1,0
8600,0,1,1
8660,0,1,1
8680,0,1,1
8690,0,0,1
8700,0,2,0
8740,0,1,0
8750,1,1,0
8770,0,1,0
8790,1,1,0
8820,0,0,1
8850,1,0,0
8860,1,1,0
8880,1,0,0
8920,1,0,0
8960,0,1,1
9010,0,0,1
9040,0,1,0
9050,0,0,1
9060,0,2,1
9080,0,1,0
9110,1,0,2
9130,0,0,1
9170,0,0,1
9180,1,0,0
9190,1,0,0
9220,2,0,0
9230,0,1,0
9240,1,0,0
9260,1,0,0
9290,1,0,0
9310,1,1,1
9330,1,1,0
9410,0,0,1
9420,1,0,0
9430,1,0,0
9510,1,0,0
9520,1,0,0
9540,0,0,1
9550,0,0,1
9570,2,0,0
9590,1,0,0
9610,1,0,0
9630,1,0,0
9650,0,1,1
9710,0,0,1
9740,0,1,0
9770,0,1,0
9790,0,1,0
9820,0,1,1
9850,1,1,0
9860,1,0,0
9900,1,0,0
9960,1,0,0
9990,1,0,0
10010,1,0,0
10030,1,0,0
10050,1,0,0
10080,1,0,0
10150,1,0,0
10220,1,0,0
10230,1,0,0
10250,1,0,0
10330,1,0,0
10350,1,0,0
10400,0,1,0
10420,1,0,0
10440,1,0,0
10500,0,0,1
10510,1,0,0
10530,0,1,1
10580,1,0,0
10650,1,0,0
10710,0,1,0
10720,0,1,0
10730,0,1,0
10770,0,1,0
10800,1,0,0
10810,0,1,0
10840,1,0,0
10850,1,0,0
10870,0,0,1
10930,1,0,1
10970,0,0,1
10980,0,0,1
11010,0,1,1
11060,1,0,0
11080,0,0,1
11110,0,0,1
11160,0,1,0
11180,1,0,0
11190,0,0,1
11220,1,0,0
11230,1,1,0
11260,0,1,0
11330,0,1,0
11370,0,1,0
11420,1,0,0
11520,2,1,0
11550,0,0,1
11580,1,0,0
11610,1,0,0
11630,0,0,1
11660,1,0,0
11670,1,0,0
11770,1,0,0
11810,1,1,0
11820,1,2,0
11830,0,1,0
11850,0,1,0
11860,1,0,0
11880,1,0,0
11900,0,1,0
11930,1,0,0
11940,1,0,0
11960,0,1,0
11970,1,0,0
12020,0,1,0
12030,1,1,2
12140,1,0,0
12150,0,1,0
12180,0,0,2
12210,0,1,0
12240,0,1,0
12270,0,0,1
12280,0,0,1
12320,0,1,0
12340,0,0,1
12350,0,1,1
12360,0,2,0
12370,0,0,1
12380,1,0,0
12390,0,1,1
12400,0,0,1
12410,0,1,0
12420,0,1,0
