ts_ns,seq,price,shares,side,action
66718508874032,0,299,790,0,1
66718509313922,0,299,27,0,0
66718509315038,1,299,117,0,0
66718509315348,2,299,401,0,1
66718509810325,0,299,170,0,1
66718510146923,0,299,99,0,0
66718510147264,1,299,176,0,1
66718510606994,0,299,286,0,1
66718512012782,0,299,173,0,0
66718512013619,1,299,335,0,1
66718512645120,0,299,417,0,0
66718512645430,1,299,464,0,1
66718513386485,0,299,279,0,0
66718513386826,1,299,334,0,1
66718513487235,0,299,241,0,1
66718514026635,0,299,402,0,0
66718514026914,1,299,319,0,1
66718514357064,0,299,305,0,1
66718514630484,0,299,5,0,0
66718514630856,1,299,421,0,1
66718514701908,0,299,222,0,1
66718515125399,0,299,92,0,0
66718515126453,1,299,184,0,1
66718515180424,0,299,716,0,0
66718515180889,1,299,102,0,1
66718523320791,0,299,50,0,1
66718523353651,1,299,50,0,1
66718523408273,2,299,40,0,1
66718523415527,0,300,25,1,1
66718523422068,0,299,25,0,1
